Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Albert R. Hibbs, Ralph Leighton, Edward Hutchings","=""0393316041""","=""9780393316049""",4,4.27,W. W. Norton & Company,Paperback,391,1997,1985,2022/06/28,2022/06/21,"autobiographies, non-fiction","autobiographies (#2), non-fiction (#11)",read,,,,1,0
2761,The Denial of Death,Ernest Becker,"Becker, Ernest",Sam Keen,"=""""","=""""",0,4.07,Free Press,Paperback,336,1997,1973,,2022/06/23,to-read,to-read (#46),to-read,,,,0,0
26415,Existentialism from Dostoevsky to Sartre,Walter Kaufmann,"Kaufmann, Walter",,"=""0452009308""","=""9780452009301""",0,4.09,New American Library,Paperback,384,1975,1956,,2022/06/21,to-read,to-read (#45),to-read,,,,0,0
10033,Being and Nothingness,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""0415278481""","=""9780415278485""",0,3.99,Routledge,Paperback,688,2003,1943,,2022/06/21,to-read,to-read (#44),to-read,,,,0,0
57767744,The Autobiography of Benjamin Franklin,Benjamin Franklin,"Franklin, Benjamin",,"=""1609425111""","=""9781609425111""",5,3.86,Iap - Information Age Pub. Inc.,Hardcover,200,2019,1791,2022/06/20,2022/03/07,"history, non-fiction, autobiographies","history (#2), non-fiction (#9), autobiographies (#1)",read,,,,1,0
50161390,Introduction to Quantum Mechanics,David J. Griffiths,"Griffiths, David J.",Darrell F. Schroeter,"=""1108791107""","=""9781108791106""",0,4.26,Cambridge India,Unknown Binding,0,2019,1994,,2021/09/16,"math-and-physics, reference-textbooks","math-and-physics (#1), reference-textbooks (#1)",reference-textbooks,,,,0,0
11724436,The Linux Command Line: A Complete Introduction,William E. Shotts Jr.,"Jr., William E. Shotts",,"=""1593273894""","=""9781593273897""",5,4.38,"No Starch Press, Incorporated",Paperback,480,2012,2012,2022/04/22,2021/01/15,"programming, non-fiction","programming (#1), non-fiction (#10)",read,,,,1,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Isabel Florence Hapgood, Charles E. Wilbour, Norman MacAfee","=""""","=""""",0,4.21,Penguin,Mass Market Paperback,1463,1987,1862,,2022/02/28,to-read,to-read (#43),to-read,,,,0,0
41549598,The War of the Worlds,H.G. Wells,"Wells, H.G.",,"=""1788886577""","=""9781788886574""",4,3.83,Arcturus Publishing Limited,Hardcover,192,2019,1898,2020/11/07,2020/11/01,"fiction, classics, sci-fi","fiction (#7), classics (#5), sci-fi (#1)",read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",5,3.80,Back Bay Books,Paperback,277,2001,1951,2022/02/15,2022/02/09,"classics, favorites, fiction, reread","classics (#6), favorites (#6), fiction (#12), reread (#1)",read,"Just as good as I remember. I know there are some people who despise this book, but I think it just comes down to whether or not you can sympathize/empathize with Holden.<br/><br/>Having dealt with depression around the same age as Holden, and having had similar self destructive thoughts as him I have a hard time getting through this book with dry eyes.That's not to say the book is overtly sad or depressing, in fact it's very funny at times.<br/><br/>I think a lot of people criticize Holden as a whiny annoying teenager, but that's kinda the whole point. He literally can't enjoy anything, and people who have suffered from depression can relate to that.<br/><br/>In my opinion the book is about Holden's battle with depression and how he learned to deal with it. I think the most important chapter is when he goes to meet Mr Antolini. He kind of gives Holden the right advice when he basically tells him to stop moralizing so much. At the end of the day that's Holden's problem he constantly judges and moralizes everyone and everything in the book and that's the driving force of his depression. It's not until the end when he is able to just enjoy watching Phoebe ride on the carousel that he actually learns this lesson.<br/><br/>I know this tends to be a love it or hate it type book, but I fricken love it to death. Still my favorite fiction book as of February 16 2022.",,,1,0
450456,A Struggle for Power: The American Revolution,Theodore Draper,"Draper, Theodore",,"=""0679776427""","=""9780679776420""",0,4.18,Vintage,Paperback,560,1997,1995,,2022/02/14,to-read,to-read (#42),to-read,,,,0,0
883365,How To Read and Why,Harold Bloom,"Bloom, Harold",,"=""0684859068""","=""9780684859064""",4,3.60,Scribner,Hardcover,288,2000,2000,2022/02/09,2022/01/21,"books-about-books, non-fiction","books-about-books (#1), non-fiction (#8)",read,"I hope you like the word ""phantasmagoria"".",,,1,0
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""158049580X""","=""9781580495806""",0,4.17,Prestwick House,Paperback,89,2005,1895,,2022/02/08,to-read,to-read (#41),to-read,,,,0,0
88077,The Magic Mountain,Thomas Mann,"Mann, Thomas",John E. Woods,"=""0679772871""","=""9780593688137""",0,4.13,Vintage,Paperback,706,1996,1924,,2022/02/08,to-read,to-read (#40),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.27,Penguin,Paperback,671,2002,1866,,2022/02/07,to-read,to-read (#39),to-read,,,,0,0
2623,Great Expectations,Charles Dickens,"Dickens, Charles","Kate Flint, Margaret Cardwell","=""0192833596""","=""9780192805218""",0,3.79,Oxford University Press,Paperback,544,1998,1860,,2022/02/06,to-read,to-read (#38),to-read,,,,0,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""""","=""""",0,4.05,Penguin Books,Paperback,474,2003,1815,,2022/02/06,to-read,to-read (#37),to-read,,,,0,0
